NAME	TITLE	SCORE	
LDLRAD4		30.758614	
LTBP1		26.42423	
CFH		25.591051	
RGS1		22.355831	
PTGFRN		21.915245	
COL15A1		21.658789	
IGFBP2		20.914001	
COL14A1		20.90974	
ENTPD1		20.761375	
HR		20.146229	
PDLIM3		19.863083	
RGS5		19.57339	
PSD3		19.513279	
FHL2		18.68206	
SSC5D		18.624092	
ASPN		18.605364	
ROBO1		18.565702	
SYTL2		18.330563	
EDA2R		18.108803	
SULF1		17.911024	
COL18A1		17.692856	
TNFRSF21		17.590622	
TRAF5		17.532644	
BRSK1		17.4929	
FOXL1		17.283215	
TGFB3		17.253843	
DPYSL3		17.178467	
CTSK		16.773458	
SMO		16.57646	
HEPH		16.153784	
MMP2		16.069778	
THY1		16.015116	
IGFBP5		15.907214	
COCH		15.723021	
PHLDA1		15.695019	
MXRA5		15.639595	
TRPS1		15.581625	
FAT1		15.538068	
NFASC		15.469602	
MYO1E		15.317792	
ZMAT3		15.265203	
WEE1		15.246446	
PHLDB3		15.137123	
IRAG1		14.982733	
KDM5B		14.933317	
MAST2		14.889676	
MICAL3		14.829643	
DNAJC22		14.828005	
CCDC3		14.81324	
CREB3L2		14.769853	
PLPP1		14.744909	
OAT		14.668878	
FBLN2		14.616923	
ISM1		14.279695	
MYO3B		14.279466	
PTCHD4		14.239051	
KIF7		14.028726	
KCNE4		13.983591	
FSTL1		13.95741	
CLMP		13.941193	
SNAP25		13.850602	
ECM2		13.827343	
CXCL12		13.806326	
TMEM59L		13.783689	
ITM2C		13.761635	
IGFBP7		13.751697	
ANTXR1		13.739505	
MDK		13.709704	
S1PR3		13.631585	
ADGRB2		13.59742	
KERA		13.5926895	
POSTN		13.585483	
GNAO1		13.56288	
THBS2		13.514459	
GADD45A		13.499729	
PLXDC1		13.318403	
TCF12		13.232982	
SEMA3C		13.103684	
SNX9		13.088925	
CACNA1C		13.0682	
FBXO32		12.957314	
ANKH		12.92332	
FNDC1		12.908863	
COL1A1		12.8805685	
PRTFDC1		12.850881	
TENM4		12.849279	
DGKA		12.793022	
SYNJ2		12.789523	
NET1		12.732544	
IGF1		12.710582	
DLG5		12.685075	
KIAA1755		12.666672	
HMCN1		12.659886	
MAP1B		12.627532	
MPPED2		12.610173	
CTHRC1		12.599112	
DZIP1		12.5694	
BEAN1		12.562382	
AZIN2		12.534009	
FILIP1L		12.525077	
COL16A1		12.523863	
NCS1		12.519621	
COL1A2		12.515079	
SH3PXD2A		12.506775	
LTBP3		12.500583	
SSUH2		12.494396	
ITGA7		12.485543	
SCARA3		12.418752	
NBL1		12.381292	
PCDH7		12.355386	
SFRP4		12.346834	
SERPINF1		12.295267	
ZFP36L2		12.288317	
ARMH4		12.284421	
SUGCT		12.280583	
THBS3		12.2644615	
COL3A1		12.256575	
SSPN		12.255511	
KLHL4		12.2550535	
PBXIP1		12.22557	
SLC25A12		12.165788	
PDE1A		12.163463	
COL6A3		12.13892	
FBN1		12.090295	
GLT8D2		12.075206	
SYT16		11.978455	
B3GALNT2		11.975963	
BNC2		11.941818	
PDE7B		11.908128	
PAMR1		11.9074335	
GNB5		11.881614	
RET		11.815318	
SLC4A3		11.688946	
PAM		11.646927	
ARID5B		11.596087	
MMP16		11.593297	
ANK2		11.593022	
GEM		11.590883	
JCHAIN		11.570779	
PAK3		11.53467	
HTRA1		11.526075	
CCDC80		11.52285	
MFAP2		11.519777	
SPATS2		11.485046	
PDCD4		11.485032	
C1orf54		11.46963	
COL5A2		11.458621	
THSD7B		11.401249	
TSHZ2		11.368875	
LUM		11.363015	
B4GALT4		11.343787	
PLXNA4		11.267978	
CAPN5		11.26362	
SCG5		11.260765	
PPFIA2		11.257949	
ENC1		11.22068	
BICC1		11.191135	
MARK1		11.164108	
CABYR		11.155594	
SYT12		11.148529	
LURAP1		11.1198635	
GOLM1		11.113837	
EPHA3		11.049738	
SFRP2		11.01196	
COL9A2		11.002937	
RAB7B		10.986406	
STARD5		10.972502	
TVP23A		10.970029	
NAALADL2		10.94327	
COL7A1		10.936502	
HS6ST1		10.909805	
SLC38A11		10.908447	
TSHZ3		10.899757	
TUBB3		10.887618	
EIF4G3		10.828828	
BOC		10.7262335	
ITGAV		10.693683	
PDLIM4		10.690252	
GRAMD2B		10.675044	
TNC		10.658519	
AMPH		10.64231	
CHD3		10.635869	
COPS8		10.595191	
NCAM1		10.586682	
AHDC1		10.583067	
TIPARP		10.577312	
CEP68		10.56715	
METTL8		10.567117	
ABCC9		10.553437	
PLCB4		10.540742	
SAMD11		10.518932	
PPP1R12B		10.5147	
TSKU		10.463612	
TSPAN2		10.443906	
ANGPTL2		10.440595	
ZRANB3		10.432595	
EFNB3		10.425316	
NUMBL		10.407971	
NIPAL2		10.337769	
TTC3		10.334911	
ADGRA3		10.333457	
ITIH5		10.33157	
ITSN1		10.33087	
SNED1		10.329739	
CPXM2		10.300569	
TRANK1		10.279199	
LRRK1		10.271898	
SEC31A		10.258391	
COL8A1		10.228042	
ADAMTS14		10.209528	
DLG2		10.189317	
VWCE		10.186375	
LAMP5		10.181621	
HECW1		10.171486	
LMNA		10.159202	
CNN1		10.143422	
FBLIM1		10.132929	
FKBP14		10.1121645	
HSPB3		10.106609	
GREM2		10.1051	
ESYT2		10.088316	
DRD5		10.082157	
PBLD		10.05573	
PRRT2		10.048384	
ENAH		10.036637	
CDKN2A		10.0338	
AFAP1		10.019155	
TUSC3		10.005243	
KCND1		9.970444	
GRIA3		9.964123	
PLA2R1		9.950133	
NUDT4		9.945619	
ABCA2		9.939524	
TMEM200C		9.93062	
TP53BP1		9.921086	
IGFL2		9.890989	
MPP2		9.866971	
DIPK1A		9.857011	
TUB		9.85304	
RHOB		9.843093	
TASP1		9.812298	
FUT8		9.807004	
ACVR1		9.783828	
ELK3		9.758436	
FNDC4		9.747554	
PKP2		9.737654	
ITGA9		9.72183	
COL5A1		9.711356	
TNFRSF18		9.709933	
ZNF846		9.705445	
SPRY1		9.698017	
ZNF711		9.695027	
CDH2		9.672756	
GASK1A		9.659194	
FRZB		9.652532	
PMEPA1		9.630527	
SLC16A2		9.624932	
COMP		9.620142	
CRISPLD1		9.618731	
FLNC		9.592192	
TTBK2		9.591605	
ITGA2		9.565717	
NLGN2		9.554731	
DLX5		9.5164585	
TMEM132E		9.515223	
RUNX2		9.480695	
PODNL1		9.476815	
TMEM117		9.458761	
DOK5		9.452188	
GALNT16		9.451486	
IGFBP4		9.450372	
LEF1		9.449939	
LHCGR		9.441385	
KLHL13		9.433562	
PARD6G		9.411314	
