GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0097485	neuron projection guidance	0.00018978290917459303	0.00018978290917459303	+1	ROBO1,SMO,NFASC,CXCL12,SEMA3C,KIAA1755,SHH,RET,PLXNA4,EPHA3,CNTN6,BOC,NCAM1,EFNB3,TUBB3,ENAH,EFNA1,GLI2,TUBB2B,KALRN,EFNA5,SLIT3,PRKCQ,WNT5A,NTN1,EPHB1,SEMA4A,PALLD,EPHB2,NIBAN2,LGR6,ARHGEF25,KIF5C,BDNF,GAP43,NOTCH1,SEMA3D,NOTCH3,KIF5A,EFNB2,UNC5C,GDNF,NOVA2,ROBO2,ARK2C,ARHGAP35,EPHA10,NEXN,VASP,NRXN3,SOS1,EPHA4,RYK,DCC,SCN1B,IGSF9,SEMA3B,MYCBP2,NELL2,UNC5A,PTPRO,MEGF8,RELN,SEMA3E,PLXNA3,SLIT1,NRP2,SEMA6A,FZD3,CNTN4,SEMA4C,CHN1,ANOS1,CNTN1,CNTN5,SEMA6C,RAC1,L1CAM,SEMA3A,SEMA3F,NOTCH2,EPHA7,NFIB,NTN4,ARHGEF40,ROBO3,SEMA7A,KIF21A,SEMA4F,EMB
GO:0050678	regulation of epithelial cell proliferation	0.00019237497185349954	0.00019237497185349954	+1	NUPR1,ROBO1,SULF1,HPN,ODAM,MDK,IGF1,WNT7A,SFRP2,VASH2,FBXW7,APOH,HYAL1,AREG,SCG2,KLF9,NR4A1,PGF,EGF,ZNF703,WNT5A,ECM1,CASK,SNAI2,FUT1,CLDN1,SPARC,GATA3,VEGFD,GATA2,FGFR1,HIF1A,OSR2,ZFP36,AKT1,CDH13,EGFL7,NGFR,CDH3,APLNR,CCL11,PLXNB3,DEAF1,FZD7,NR4A3,OSR1,MAGED1,NF1,SIX4,ITGB3,PIK3CD,TNFSF12,THBS4,MYC,TBX1,JAML,ACVRL1,SCAND3,EGR3,PPARG,VEGFC,DLL4,EREG,PDPK1,MCC,FGF7,GRN,PRKDC,XBP1,ALOX5,CCL24,ZFP36L1,COL4A3,ANG,GHRL,BMP4,CEACAM1,RREB1,CAV2,SOX9,EXTL3,MEF2C,STAT5A,TINF2,HMOX1,PRKCA,THBS1,AIMP1,NOD2,SFRP1,CCL2,NRP2,TEK,KDR,RGCC,TNF,SRSF6,XDH,GPX1,STXBP4,SP1,DUSP10,EPGN,CDKN2B,SOX2,NOTCH2,BRCA2,SAAL1,BMP6,ZNF580,NFIB,NR1D1,BMP5,ATP5F1A,SYNJ2BP,ATOH8,ITGA4,PTPRK,CAV1,HRAS,MTSS1,RUNX3,ARNT,TCF7L2
GO:0016126	sterol biosynthetic process	0.00020512219218111292	0.00020512219218111292	+1	LSS,FDPS,HMGCS1,EBP,DHCR7,SREBF2,LPCAT3,MSMO1,TM7SF2,NSDHL,MVD,SREBF1,HMGCR,FDFT1,FGF1,G6PD,MVK,SC5D,DHCR24,SEC14L2,PMVK,SQLE,INSIG1,ACAA2,MBTPS1,HSD17B7,GPR146,ARV1,INSIG2,CH25H,CYP51A1,ACLY,ABCG1,QKI,PRKACA,FAXDC2
GO:0050919	negative chemotaxis	0.0005376136092895698	0.0005376136092895698	+1	ROBO1,SEMA3C,ITGAV,SLIT3,WNT5A,NTN1,SEMA4A,LGR6,APOA1,RHOA,SEMA3D,ITGB3,UNC5C,ROBO2,RYK,SEMA3B,SEMA3E,SLIT1,SEMA6A,SEMA4C,SEMA6C,SEMA3A,SEMA3F,EPHA7,SEMA7A,SEMA4F,PDGFA
GO:0006695	cholesterol biosynthetic process	0.0005566626818685512	0.0005566626818685512	+1	LSS,FDPS,HMGCS1,EBP,DHCR7,SREBF2,LPCAT3,MSMO1,TM7SF2,NSDHL,MVD,SREBF1,HMGCR,FDFT1,FGF1,G6PD,MVK,SC5D,DHCR24,SEC14L2,PMVK,INSIG1,ACAA2,MBTPS1,HSD17B7,GPR146,ARV1,INSIG2,CYP51A1,ACLY,ABCG1,QKI,PRKACA
GO:1902653	secondary alcohol biosynthetic process	0.0005566626818685512	0.0005566626818685512	+1	LSS,FDPS,HMGCS1,EBP,DHCR7,SREBF2,LPCAT3,MSMO1,TM7SF2,NSDHL,MVD,SREBF1,HMGCR,FDFT1,FGF1,G6PD,MVK,SC5D,DHCR24,SEC14L2,PMVK,INSIG1,ACAA2,MBTPS1,HSD17B7,GPR146,ARV1,INSIG2,CYP51A1,ACLY,ABCG1,QKI,PRKACA
GO:0046321	positive regulation of fatty acid oxidation	0.0006329714950570212	0.0006329714950570212	+1	PLIN5,MLYCD,KLHL25,TWIST1,ABCD2,MTLN,IRS1,AKT2,ABCD1,PPARGC1A,IRS2,PPARA
GO:1903034	regulation of response to wounding	0.0008824066151918614	0.0008824066151918614	+1	TMEM97,F11,MDK,CERS2,FOXA2,OCLN,TNFAIP3,SMOC2,APOH,PTPN6,FAP,FOXC2,C1QTNF1,PF4,CASK,CPB2,CLDN1,ADTRP,EPHB2,SERPINE1,SCARF1,INPP5F,ADAMTS18,MYLK,PRKCD,RTN4R,FERMT1,ITGB1,GP1BA,DUOX1,FGA,F2R,SERPINE2,SIGLEC10,ANXA1,DMTN,CLASP1,GRN,XBP1,ALOX5,EPHA4,HPSE,PTEN,CEACAM1,RREB1,F12,EXTL3,KRT1,ST3GAL4,GIT1,THBS1,PRKCE,EMILIN1,IL10,SERPINB2,ADRA2A,TNF,SRSF6,FGG,TFPI,PLAU,KLKB1,THBD,CNTF,CD109,VTN,RTN4RL1,USF1,CLEC7A,NOS3,PLAT,CAV1,HRAS,PDGFA,IL33
GO:0032963	collagen metabolic process	0.0008913011658527628	0.0008913011658527628	+1	TGFB3,CTSK,MMP2,P3H2,COL1A1,MMP16,COL5A1,MMP19,VIM,P3H3,FAP,MRC2,IL6R,TNXB,HIF1A,MFAP4,MMP11,MMP28,MMP13,TMEM131,MMP7,MMP3,CREB3L1,MMP25,ADAMTS3,MMP24,ITGB1,RUNX1,MMP17,MMP14,P3H4,F2R,VSIR,TMPRSS6,MMP15,MMP10,BMP4,PCOLCE,EMILIN1,MMP1,RGCC,LARP6,MMP23B,RCN3,P3H1,FURIN
GO:0072522	purine-containing compound biosynthetic process	0.001042101816064611	0.001042101816064611	+1	ACSS2,ACAT1,FASN,MLYCD,SLC4A7,PID1,ADCY6,SPHK2,ELOVL3,ADCY2,ACACA,PDHX,NMNAT2,ADCY8,SHMT1,SDHB,ELOVL2,PRPS2,NDUFB9,GCDH,ELOVL1,ADCY5,PAPSS2,ADCY3,HAAO,MT-ND5,ATP5PD,PANK2,RD3,PDK4,NDUFB11,NDUFA2,AMPD1,NDUFV2,NPR1,ELOVL6,NDUFB1,NADK,NDUFS8,PPCS,HACD1,PGM2,ADSS1,NDUFA6,PPAT,NDUFS7,PRPS1,NDUFV3,MT-ND6,MT-ND2,NDUFA12,ATP5MK,DIP2A,DNAJC30,SLC27A2,GUCY2D,ADSS2,ANTKMT,COASY,ATP5MC3,PANK1,NDUFA9,PPCDC,IMPDH1,PPT2,ACLY,ATP5F1E,NDUFB10,ATP5MC2,APRT,ATP5PF,ATP5MF,NDUFB3,ATP5MJ,NDUFS3,NDUFB7,ACSS1,MT-ND1,ENO1,ADCY9,NDUFA3,ACSBG1,ATP5MG,ATPSCKMT,ADCY1,NDUFB4,ADCY7,NDUFS6,ACSL1,TECR,NDUFA11,PPARA,ATP5ME,DGUOK,NDUFB6,ACOT7,MT-ND4,IDO1,GUCY1A1,ATP5F1A,PDHA1,NDUFV1,DLAT,DCAKD,ATIC,NOS3,HSD17B12,NDUFC1,ATP5F1D,ATP5PO
